Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
185,8779 S Camanche Pkwy,750000,"Custom built Lake view Mediterranean style home with 3672 sq ft of living area not including the 60'6"" x 12' covered lanai and covered downstairs patio that is 60'6 x 12'9'' that take in the incredible panoramic lake Camanche  views.  The 3.67 acres is fully fenced and is surrounded by East Bay M.U.D. property so nothing will ever be built or obstruct the views.  Convenient location just minutes from the lake and 20 miles east of Lodi.  You'll love the 1672 sq ft garage with 41'5"" x 17'6"" motor home attached garage and 40'6""x30' metal shop not including the attached lean to on the back for tractor or ATV storage.  Relax and get your exercise in the swim spa while enjoying the lake views.  You'll never want to leave home from this one of a kind setting and beautifully appointed home.  Qualified buyers contact listing agent Jeanne Martin 209-601-3143 for more information and an appointment to view before it goes on the MLS.

The Million dollar views of Lake Camanche, the 41'5"" x 17'6"" motor home garage and detached 40'6""x30' shop/garage to store the boat and everything else. Quality construction and desirable floor plan. Owned solar system, swim spa, lake views from almost every room, so much to offer. Qualified buyers contact Listing agent Jeanne Martin 209-601-3143 for a sneak preview",SingleFamily,2005,"FAG, Gas Log",Ceiling Fans,"Garage - Attached, Garage - Detached, Mixed, Covered",159865.19999999998,3,3,3,3672,6,6,Wallace,Ione Elementary School,4,9.5,,,,Argonaut High School,6,14.7,"Carpet, Tile","Forced air, Propane / Butane","Central, Solar","Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",Room,"Garage - Attached, Garage - Detached, Mixed, Covered",477000,5401,2019/9/9,890000,,,Wallace,95254,CA
186,587 Bridge St,390000,"Desirable Bay Village Community.  At least one occupant must be 55+.  Features include 2 large bedrooms, one with slider to large rear yard, updated kitchen and bath, and covered patio.  Home has new paint, new window coverings, new kitchen counters, all new interior and exterior lighting fixtures and new laminate flooring throughout the house.  Laundry area is indoors.  Eating area next to kitchen.  One car garage with storage and door to rear yard.  Close to shopping, downtown and parks.",SingleFamily,1974,"Gas, Space Heater",None,"Garage, Garage - Attached",3528,2,1,1,836,0,0,Watsonville,Ann Soldo Elementary School,3,0.6,Lakeview Middle School,3,1.3,Watsonville High School,4,0.6,Laminate,"Wall, Gas",None,"Garbage disposal, Refrigerator",Inside,"Garage, Garage - Attached",120731,1448,2019/3/18,419900,,,Watsonville,95076,CA
187,12004 S Broadway,410000,"Welcome Home!!! This gorgeous 4 bedroom, 2 full bath  Tri-level condo is nestled in a nice, quiet gated community. Entering the home on the 1st floor through a spacious 2 car attached garage you are welcomed by an open living room with floor to ceiling mirrors, custom blinds, hardwood floors, dining area & great modern kitchen offering lots of cabinets & counter space. The 2nd & 3rd floor each have two bedrooms, with mirrored closet doors, ceiling fans & a full baths. Enjoy & relax  on a spacious outdoor balcony. Built in 2006 with approx 1550 sq ft. The complex is located in the great  Athens area, conveniently close to freeway's, Downtown LA & LAX.  This is a MUST SEE!!!!",Condo,2006,,Central Air,Direct Access,,4,2,2,1550,2,2,Los Angeles,One Hundred Twenty-Second Street Elementary School,6,0.7,Samuel Gompers Middle School,2,0.8,,,,"Carpet, Tile, Wood",,Central Air,,"Laundry Closet, Upper Level",Direct Access,352000,4473,2019/7/16,425000,2007/5/2,385000,Los Angeles,90061,CA
188,156 Three R Ave,258500,"Thoughtfully built custom cottage c.2010 nestled into a gentle wooded hillside overlooking Red & Kunde Mountains. Tucked far back from 3R Avenue, the setting is quite private, & rich w/birdsong & mature trees. Airy & light inside, this 2,525sf 2-story home's floorplan includes 4Be/3Ba/1st level Sitting Area + 2nd level Study-Sitting Area. Smart usage of space + engaging design & finish details are evident t/o including wrap-around staircase, wood floors & ceiling, IKEA Kitchen, 1st floor wood stove & an inviting (covered) Entry Deck. Surrounding homes & neighbors are delightful. This welcoming home will adapt for many lifestyles, including full or part-time use. The downstairs Master has a private entry so can easily be used as an overnight rental. Seller asks that Closing occur in 2020.",SingleFamily,2009,Forced Air - Gas,"AC Central, Ceiling Fans","No Garage, Gravel",6534,4,3,3,1525,0,0,Patagonia,Patagonia Elementary School,7,0.5,,,,Patagonia Union High School,5,0.2,"Ceramic Tile, Sustainable, Wood",Forced Air - Gas,"AC Central, Ceiling Fans",,Closet,"No Garage, Gravel",184146,,2019/9/9,279000,,,Patagonia,85624,AZ
189,2235 Menalto Ave,1175000,"This is 4 bed/ 2 bath room house, 3 rooms are available for rent for 1300 each with shared bathroom and access to whole house. House is fully furnished.",SingleFamily,1967,"Forced air, Gas",Other,"Garage, Garage - Detached, Covered",6499,1,1,,1500,2,2,East Palo Alto,Willow Oaks Elementary School,2,0.6,,,,Menlo-Atherton High School,7,1.6,Hardwood,"Forced air, Gas",Other,"Dryer, Washer",In Unit,"Garage, Garage - Detached, Covered",821916,11176,2019/11/7,1165000,2017/3/10,790000,Palo Alto,94303,CA
190,32076 County Road 14,800000,"All offers considered on this beauty!Experience luxury country living at it's finest at this beautiful estate nestled within 12 acres of natural beauty. In addition to the sprawling 3 bedroom main home, with a separate office and private entrance, you also have a climate controlled workshop/workout room which can be converted to an additional living area or guest house. Gracious entertaining continues, to the outdoor resort styled backyard with it's relaxing spa, fire pit, covered patio and plenty of room for summer entertaining. Adorable country style, custom chicken coop reminds you that you are now away from the stress of the city. There are extraordinary features such as granite counters, tile floors, fireplace, dining/family room combination, front porch, and magnificent views in almost all directions! Convenient drive-thru shop building and plenty of room for that boat or RV. All this and just minutes to I-5, and a short drive to Sacramento, Davis Woodland and UCD!",SingleFamily,2000,Forced air,Central,"Garage - Attached, Garage - Detached",531432,3,3,2,2489,0,0,Zamora,Zamora Elementary School,8,11.3,Lee Middle School,2,11,Woodland Senior High School,5,10.4,"Tile, Carpet",Forced air,Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",,"Garage - Attached, Garage - Detached",566288,5932,2019/8/9,899900,2014/2/28,476000,Zamora,95698,CA
191,641 Carmel Ave,690000,"Breath taking views of the Farallone Islands! This contemporary 2 bedroom home on .68 acres features a large living room with gas log fireplace overlooking the majesty of the ocean. The bath has lovely tile accents. The master has a walk in closet. The laundry rm/office has views.The kitchen features cherry cabinets and granite and a big pantry. SHOWINGS THE FOLLOWING DAYS ONLY TUESDAYS: 6-7PM
WEDNESDAYS: 6-7PM
SATURDAYS: 12-2PM

Tenant responsible for ALL utilities.",SingleFamily,1951,,,"Carport, Garage - Attached",29620.800000000003,2,1,,830,0,0,Pacifica,Cabrillo Elementary School,7,2.6,,,,Jefferson High School,4,3.8,,,,,,"Carport, Garage - Attached",581754,7743,2012/12/21,525000,2013/2/5,527000,Pacifica,94044,CA
192,10111 Soquel Dr,1115500,"Totally remodeled 3+ bedroom 2 bath home with flowing, open floorplan plus a separate, legal 2 bedroom 1 bath  perfect for extended family or rental. All new kitchen, baths, windows, floors, decks, paint, landscaping you-name-it! Covenient, close-in Aptos location with top of the hill privacy on gated 2.3+ acres! Tons of elbow room and plenty of space for multiple cars, boats RV, horses etc. Great place for extended family/rental potential. Close to top schools, shopping, beach and convenient commute location.  Invest in your future today. Seller says there may be potential for ADU.

Like brand new and close to everything yet totally private hilltop setting. Great rental potential with separate 2bedrooms and bath and living. Horses allowed!",Apartment,1978,"Forced air, Gas",None,"Garage, Off-street",,2,1,,675,0,0,Aptos,Valencia Elementary School,6,1.3,,,,Aptos High School,7,0.8,"Tile, Laminate","Forced air, Gas",None,"Dishwasher, Microwave, Range / Oven, Refrigerator",,"Garage, Off-street",726501,8115,2019/9/24,1195000,,,Aptos,95003,CA
193,203 Tait Ave,2100000,"Charming downtown Los Gatos Victorian! Beautiful curb-appeal! White picket fence * Hardwood floors * Updated bathrooms * Spacious Kitchen * Downstairs bedroom and full bathroom * Deck * New heating, cooling, hot water heater, and ducts * New main sewer line with backflow prevention device * New paver walkway * Great location in the Almond Grove area of Downtown Los Gatos * Close to Bachman Park!",SingleFamily,1950,"Heat pump, Gas",Central,"Garage, On-street",1890,3,2,,1555,0,0,Los Gatos,Daves Avenue Elementary School,9,0.8,C. T. English Middle School,9,6.9,Los Gatos High School,10,0.6,"Softwood, Hardwood","Heat pump, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",,"Garage, On-street",1124314,13967,2011/11/9,999950,2011/1/19,960000,Los Gatos,95030,CA
194,1815 Westmoreland Blvd,1120000,"Historic Gem! Legal square footage of 3366 + 1000 sqft of finished attic with 2 large bedrooms, for a total estimated livable space of 4366 sqft, and a total of 6 bedrooms and 3 bathrooms.",SingleFamily,1910,Wall,None,"Covered, Garage",9657,6,3,3,4366,6,6,Los Angeles,Twenty-Fourth Street Elementary School,2,0.4,Pio Pico Middle School,5,0.7,West Adams Preparatory High School,4,1.1,,Wall,None,,Individual Room,"Covered, Garage",1341708,16578,2019/10/7,1249900,2019/1/16,425000,Los Angeles,90006,CA
195,2311 Bryant St,1040000,"Gracious turn of the century Top-Floor Victorian Flat. This home has all that you desire in an elegant Victorian of this era. High ceilings, architectural details still intact, gorgeous + timeless renovated kitchen and bath. Master bedroom with sitting area + 2 additional bedrooms. Large stately living room with built-in book shelves. The bedrooms are far apart which is conducive to a potential roommate scenario. Shared garden and storage. Huge exclusive-use attic with great potential. Great location. Walk to Flour & Water, Salumeria, Mission Cliffs, Southern Pacific Brewery and the vibrant 24th St. corridor.",SingleFamily,1900,,,None,,3,1,1,,0,0,San Francisco,Bryant Elementary School,4,0.4,Everett Middle School,4,1.3,O'connell (John) High School,3,0.3,Wood,,,,,None,,,2019/10/18,1095000,,,San Francisco,94110,CA
196,6000 Canterbury Dr UNIT D206,430000,"An amazing opportunity to own a move-in ready unit in the Pines Complex walking distance to all shopping and centrally located. This unit comes with a bonus 2 side by side parking spaces and a storage unit.  Unit faces Canterbury. Through the entry is a remodeled and extended kitchen with fresh white cabinetry and upgraded countertops. The kitchen overlooks an open living/dining area with a private balcony. The spacious balcony has open views of the neighborhood and the skyline.  The master suite has modern color tones and is spacious and open. The beautiful master ensuite bathroom has his/her double sinks, upgraded countertops, and white cabinetry with shower over a bathtub. Enjoy relaxing in this serene space after a long day at the office. 2 car covered parking space and many community amenities such as pool, bar, shared community laundry. Close to amenities and shopping and dining!",Condo,1971,"Central, Wall Furnace",None,Garage,,1,1,1,764,2,2,Culver City,El Rincon Elementary School,8,0.9,Culver City Middle School,7,1.8,Culver City High School,8,1.9,Laminate,"Central, Wall Furnace",None,"Dishwasher, Electric Oven, Electric Cooktop, Electric Water Heater, Refrigerator","Common Area, Community",Garage,328515,4283,2015/3/25,291000,2015/8/18,303500,Culver City,90230,CA
197,1625 Brommer St SPACE 7,212000,"This unit has been spruced up with new carpet and interior paint. Bring your surfboard and move right in! Located in an all-age mobile home park near Santa Cruz beaches, harbor, biking trails, and restaurants. Affordable Santa Cruz living! Perfect as a starter property or if you're ready to downsize. Low maintenance! Property Information ?? 2013 MLSListings Inc. All rights reserved. Certain information contained herein is derived from information which is the licensed property of, and copyrighted by, MLSListings Inc. Brokered And Advertised By: Bailey Properties Listing Agent: Aimee J. Thayer-Garcia",SingleFamily,1988,Other,Central,Carport,,1,1,,500,0,0,Santa Cruz,Live Oak Elementary School,7,0.3,Mission Hill Middle School,6,3.2,Cypress Charter High School,6,0.4,,Other,Central,,,Carport,14711,159,2012/11/21,60000,,,Santa Cruz,95062,CA
